codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7899298621980;Câmera Veicular Full HD Smart DC 3102 com Cartão Micro SD 32GB Preto Intelbras;https://m.media-amazon.com/images/I/41YYqtMrnLL.__AC_SX300_SY300_QL70_ML2_.jpg;9.56;4.13;3.08;cm;68;g;
7896637625388;Camera Bullet IP Intelbras VIP 1430 B G2 Full HD 1440p Sensor 1/2.7” Lente 3.6mm 30m IR PoE IP67 H.265;https://m.media-amazon.com/images/I/41wkW2dXjBL.__AC_SY300_SX300_QL70_ML2_.jpg;21;16;12;centímetros;300;g;
7896637685351;Câmera Dome HDCVI Lite 2 megapixels VHL 1220 D Intelbras;https://m.media-amazon.com/images/I/41JJKID4g9L.__AC_SX300_SY300_QL70_ML2_.jpg;9;9;7;centímetros;150;g;
7899298649915;Câmera de segurança IP Bullet infra 20mt IP67 PoE 1080p VIP 1220 B Full Color G4;https://m.media-amazon.com/images/I/41fAGpVSzsL.__AC_SX300_SY300_QL70_ML2_.jpg;20;12;12;centímetros;450;g;
7899298629900;;;30;10;10;cm;330;g;
7899298650560;Câmera Intelbras VIP 1230 B G4 Full HD 1080p com Lente 3,6mm Bullet Resistente à Chuva IP67 IR de 30m;https://m.media-amazon.com/images/I/417qF-HNdML.__AC_SX300_SY300_QL70_ML2_.jpg;26.3;12.2;9.9;centímetros;300;g;
7899298629962;;;12;12;12;cm;350;g;
7899298656036;;;20;12;12;cm;450;g;
7896637625364;;;15;15;15;cm;400;g;
7899298656043;Câmera De Segurança Vlp 1230D Ip67 Full Hd 1080p Intelbras;https://m.media-amazon.com/images/I/41t-ANpw9UL.__AC_SX300_SY300_QL70_ML2_.jpg;12;12;8;cm;380;g;
7899298647003;Câmera Intelbras Varifocal Multi Hd Vhd 3250 Vf G7 Full Hd Visão Noturna de 50 metros Proteção Ip67;https://m.media-amazon.com/images/I/41qvmRjkxcL.__AC_SX300_SY300_QL70_ML2_.jpg;29;14;11;centímetros;810;g;
7896637632430;Câmera Intelbras VHD 1010 B G6 Bullet HD 720p Sensor 1/4" Lente 3.6mm HDCVI Menu OSD 10M IR Anti UV;https://m.media-amazon.com/images/I/31Zhgs8ONhL.__AC_SX300_SY300_QL70_ML2_.jpg;16.5;9.3;8.1;centímetros;300;g;
7899298625520;;;16;11;11;cm;290;g;
7896637601269;Câmera Intelbras VHD 1220 D G5 Sensor 1/2.7" Dome Full HD 1080p Lente 2.8mm HDCVI Multi HD 20M IR;https://m.media-amazon.com/images/I/51zvPjOLJAS.__AC_SX300_SY300_QL70_ML2_.jpg;10;10;10;centímetros;600;g;
7896637631648;Câmera Intelbras VHD 1220 D G6 Dome Full HD 1080p Lente 2.8mm HDCVI Multi HD 20M IR 1220D;https://m.media-amazon.com/images/I/411gQoIf+-L._AC_SX300_SY300_.jpg;11.2;11;8.7;centímetros;300;g;
7899298611585;;;20;15;12;cm;250;g;
7899298672722;CÂMERA BULLET DEFINIÇÃO HD 720p 2.8MM 112° VHD 1120 B Full Color;https://m.media-amazon.com/images/I/41reG6QshzL.__AC_SX300_SY300_QL70_ML2_.jpg;18.7;11.3;8;centímetros;350;g;
7899298672746;CÂMERA DOME DEFINIÇÃO HD 720p 2.8MM 112° VHD 1120 D Full Color;https://m.media-amazon.com/images/I/41eRqqbouEL.__AC_SX300_SY300_QL70_ML2_.jpg;12;12;12;centímetros;350;g;
7896637631655;Câmera Intelbras VHD 1220 B G6 Bullet Full HD 1080p Sensor 1/2.8" Lente 3.6mm Multi HD 20M IR IP67;https://m.media-amazon.com/images/I/41orNgGseBL.__AC_SX300_SY300_QL70_ML2_.jpg;17;9;8;centímetros;200;g;
7899298692386;Intelbras - Câmera VHD 1220 D FULL COLOR+ Inteligente Full HD 1080p MultiHD Visão Noturna de 20m Intelbras;https://m.media-amazon.com/images/I/51I6LaOg-0L.__AC_SX300_SY300_QL70_ML2_.jpg;8;8;7;centímetros;110;g;
7899298660736;Camera Dome Externa Vhd 1220 D Full Color G7 Intelbras;https://m.media-amazon.com/images/I/41GFZ9JRlPL.__AC_SX300_SY300_QL70_ML2_.jpg;12.2;11.4;11.4;centímetros;280;g;
7896637631471;;;8.4;10.9;10.8;cm;310;g;
7896637686518;Câmera Intelbras VHD 3220 D G4.0 Dome Full HD 1080p Lente 2.8mm HDCVI Multi HD 20M IR - 3220D;https://m.media-amazon.com/images/I/51BlaNPEMuL.__AC_SX300_SY300_QL70_ML2_.jpg;;;;;
7896637631662;Câmera Intelbras VHD 3220 D G6 Dome Full HD 1080p Lente 2.8mm Sensor 1/2.8" HDCVI Multi HD 20M IR;https://m.media-amazon.com/images/I/51V-TfW1FiL.__AC_SX300_SY300_QL70_ML2_.jpg;23;19;13;centímetros;250;g;
7899298657613;Camera Dome C/Microfone Vhd 3220 Mini D Branca Full Hd;https://m.media-amazon.com/images/I/41i9o96Z6vL.__AC_SX300_SY300_QL70_ML2_.jpg;15;15;15;centímetros;300;g;
7899298663058;Câmera Bullet alertas visuais e sonoros com microfone Full Color+ inteligente 2.8mm 112º VHD 5240 Dual Color +;https://m.media-amazon.com/images/I/31HWGYIQ9ML.__AC_SX300_SY300_QL70_ML2_.jpg;30;12;12;centímetros;;;
7899298672166;Câmera Dome VHL 1120 D G2 Infravermelho, 20m, 2.8mm - Intelbras;https://m.media-amazon.com/images/I/31a3HBJJflL.__AC_SX300_SY300_QL70_ML2_.jpg;8.5;8.5;8.5;centímetros;0.25;g;
