codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7896637697903;Câmera Dome IP Wifi 1230 D W 30m - Intelbras;https://m.media-amazon.com/images/I/413KsGYaZ9L.__AC_SX300_SY300_QL70_ML2_.jpg;23;19;13;centímetros;550;g;
7896637618274;Câmera IP Intelbras VIP 3230 D SL Dome Full HD 2MP PoE Starlight Lente 2.8mm 30M IR Sensor 1/2.7";https://m.media-amazon.com/images/I/6106S-aFXvL.__AC_SX300_SY300_QL70_ML2_.jpg;21;16;13;centímetros;400;g;
7896637619981;Câmera dome inteligência artificia VIP 3240 D IA Intelbras;https://m.media-amazon.com/images/I/21p4tEm53iL.__AC_QL70_ML2_.jpg;20;20;15;centímetros;;;
7899298605317;Câmera IP Intelbras VIP 3240 D Z G2 Dome 2MP Sensor 1/2.7” Lente 2.8~12mm PoE H.265 Varifocal IK10;https://m.media-amazon.com/images/I/519GB0gKicL.__AC_SY300_SX300_QL70_ML2_.jpg;28;22;19;centímetros;1.95;quilogramas;
7899298686200;Camera IP WI-FI 4MP VIPW 1430 D;https://m.media-amazon.com/images/I/41zQYxtx8RL.__AC_SX300_SY300_QL70_ML2_.jpg;18;18;16;cm;18;x;
7899298625834;intelbras CAMERA IP DOME VIP 1230 D G3, Modelo: 4564063, Cor: Branca;https://m.media-amazon.com/images/I/51Yc68ObJoL.__AC_SX300_SY300_QL70_ML2_.jpg;10.6;10.4;9.4;centímetros;300;g;
7896637628532;Câmera Intelbras VHD 3240 Full Color Sensor 1/2.8" Bullet Full HD 1080p Lente 3.6mm Multi HD 20M IR;https://m.media-amazon.com/images/I/51Yc68ObJoL.__AC_SX300_SY300_QL70_ML2_.jpg;22;16;11;centímetros;800;g;
7899298647010;Câmera Dome Multi-HD Varifocal IR 40M Full HD 1080p VHD 3240 D VF G7;https://m.media-amazon.com/images/I/41oWZX0Q3bL.__AC_SY300_SX300_QL70_ML2_.jpg;12;12;12;centímetros;;;
7899298626015;intelbras CÂMERA DE VIDEO WI-FI FULL HD IMX BRANCA 4565504 –;https://m.media-amazon.com/images/I/416NcBuDv6L.__AC_SX300_SY300_QL70_ML2_.jpg;17.4;17.3;9.3;centímetros;350;g;
7899298634164;intelbras CÂMERA DE VÍDEO WI-FI FULL HD IMX BLACK 4565606, Preto;https://m.media-amazon.com/images/I/41gWlpN2FdL.__AC_SX300_SY300_QL70_ML2_.jpg;17;9;8;centímetros;320;g;
7899298633488;Câmera Wifi IMX Black Intelbras Mibo Full HD IP Preta;https://m.media-amazon.com/images/I/417NjhnJc4L.__AC_SX300_SY300_QL70_ML2_.jpg;17.4;9.1;8;centímetros;320;g;
7899298633433;CAMERA WI-FI FULL HD IMX C/MICROSD 32GB;https://m.media-amazon.com/images/I/41nQDGlrtRL.__AC_SX300_SY300_QL70_ML2_.jpg;17.4;9.2;8.2;centímetros;320;g;
7899298633426;Câmera de Segurança Interna Visão Noturna Função Babá Wifi Full HD IMXC - Intelbras;https://m.media-amazon.com/images/I/417gyOzsaNL.__AC_SX300_SY300_QL70_ML2_.jpg;17.7;9.2;8;centímetros;320;g;
7899298695486;CAMERA DE VIDEO EXTERNA WI-FI IM7 S FULL COLOR C/MICRO SD 32GB 4590022;https://m.media-amazon.com/images/I/41rb6zB3GhL.__AC_SX300_SY300_QL70_ML2_.jpg;20;16;16;centímetros;720;g;
7899298661757;Câmera Wi-fi IMX1 Intelbras HD 720p com Áudio Visão Noturna + Cartão MicroSD WD Purple 32Gb;https://m.media-amazon.com/images/I/41zh2zRKkkL.__AC_SX300_SY300_QL70_ML2_.jpg;15;10;8;centímetros;195;g;
7899298654315;Câmera inteligente Wi-Fi HD 720p 114° Intelbras iMX1 Alexa e ok Google;https://m.media-amazon.com/images/I/41Q2myIO-AL.__AC_SX300_SY300_QL70_ML2_.jpg;12;12;12;centímetros;450;g;
7899298664277;Câmera Inteligente IM5 S 4MP de Resolução Intelbras;https://m.media-amazon.com/images/I/51vO4SbvprL.__AC_SY300_SX300_QL70_ML2_.jpg;25.2;13.9;11.1;centímetros;450;g;
7899298691877;CAMERA DE VIDEO EXTERNA WI-FI IM7 S FULL COLOR 4590016;https://m.media-amazon.com/images/I/41PG7MbtcaL.__AC_SX300_SY300_QL70_ML2_.jpg;15.8;15.6;14.2;centímetros;700;g;
7899298637363;Câmera de Vídeo Wi-Fi Smart IZC 1004 Branco Intelbras;https://m.media-amazon.com/images/I/417H8YGi4lL.__AC_SX300_SY300_QL70_ML2_.jpg;18.6;10.2;9;centímetros;;;
7899727800238;Câmera Canon SL3 DSLR com 24.1MP, 3", Gravação em Full HD - EF-S 18-55MM, Compacto;https://m.media-amazon.com/images/I/61X+O99m74L._AC_SY300_SX300_.jpg;22.4;16.8;15;centímetros;449;g;
7899298629894;;;30;19;14;cm;333;g;
7899298605669;Camera Bullet IP Intelbras VIP 1230 B G2 Full HD 1080p Sensor 1/2.7” Lente 3.6mm 30m IR PoE IP67 H.265;https://m.media-amazon.com/images/I/418NdC0vkZL.__AC_SX300_SY300_QL70_ML2_.jpg;21;12;12;centímetros;500;g;
7899298629856;CAMERA IP BULLET VIP 1230 B G3;https://m.media-amazon.com/images/I/31wCYjOuZmL.__AC_SX300_SY300_QL70_ML2_.jpg;21;10.8;9.4;centímetros;350;g;
7899298687818;Câmera IP Intelbras VIPC 1230 B G2 Full HD 1080p PoE Infravermelho 30 Metros 2MP;https://m.media-amazon.com/images/I/31mYtcVEmnL.__AC_SX300_SY300_QL70_ML2_.jpg;16;9;8;centímetros;300;g;
7899298685838;Intelbras - Câmera Vip 1220 D 2mp Full Hd 1080p Ip Full Color+ Intelbras;https://m.media-amazon.com/images/I/51eIHLxu2eL.__AC_SX300_SY300_QL70_ML2_.jpg;11;11;10;centímetros;330;g;
7899298673590;Intelbras - Câmera Vip 5232 Speed Dome Ia G2 Ip67 E Ik10 Intelbras;https://m.media-amazon.com/images/I/41XQLgGE2iL.__AC_SX300_SY300_QL70_ML2_.jpg;25;18;18;centímetros;4.5;quilogramas;
7899298686224;Câmera Segurança IP POE Intelbras VIP 1300 MINI SD;https://m.media-amazon.com/images/I/410LDWVNWpL.__AC_SX300_SY300_QL70_ML2_.jpg;15;15;15;cm;15;x;
7899298686217;Câmera Segurança IP WIFI Intelbras VIPW 1300 MINI SD;https://m.media-amazon.com/images/I/413d+nldZZL._AC_SY300_SX300_.jpg;23;15;15;cm;23;x;
7899298605973;Camera Dome IP Intelbras VIP 1130 D G2 Sensor 1/2.7” Lente 2.8mm 30m IR PoE IP67 H.265 HD 720p;https://m.media-amazon.com/images/I/41KOlId3-mL.__AC_SX300_SY300_QL70_ML2_.jpg;22;16;12;centímetros;;;
7899298629955;intelbras CAMERA IP DOME VIP 1130 D G3, Modelo: 4564061, Cor: Branco;https://m.media-amazon.com/images/I/61UgPvULYJL.__AC_SX300_SY300_QL70_ML2_.jpg;12;11.2;9.5;centímetros;340;g;
7896637676410;Câmera IP Intelbras VIP S4020 G2 mini dome 1 Megapixel, 2.8mm, 20 metros OnVif;https://m.media-amazon.com/images/I/51YjQ5uDZJL.__AC_SX300_SY300_QL70_ML2_.jpg;12;11;10;centímetros;260;g;
