codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7898571461206;Monitor Led 17.1 Tronos 17TRS-KAN Preto Widescreen entrada VGA e HDMI;https://m.media-amazon.com/images/I/51YSV36IMFL.__AC_SY300_SX300_QL70_ML2_.jpg;47;36;14;centímetros;2;kilograms;
7898620271077;Monitor Aoc 18.5" Led Vga e Hdmi;https://m.media-amazon.com/images/I/61tc4dcXkRL.__AC_SX300_SY300_QL70_ML2_.jpg;48.2;33.2;10.6;centímetros;2.4;kilograms;
7898571462951;MONITOR LED 19 BRAZIL PC BPC-M19WR SLIM PRETO WIDESCREEN BOX;https://m.media-amazon.com/images/I/51meXkfjAgL.__AC_SX300_SY300_QL70_ML2_.jpg;47;35;9;centímetros;800;g;
7898571460131;MONITOR LED 19,0" BRAZILPC 18887 HDMI BI;https://m.media-amazon.com/images/I/51IU3b2fDLL.__AC_SX300_SY300_QL70_ML2_.jpg;48;36;10.2;centímetros;3.8;kilograms;
7898571462159;Monitor LED 19" Tronos Widescreen, VGA/HDMI Preto - TRS-HK19WV;https://m.media-amazon.com/images/I/61Na7tHettL.__AC_SX300_SY300_QL70_ML2_.jpg;49;41;10;centímetros;3.58;kilograms;
7893299917547;Monitor LG 19.5 LED HDMI, D-SUB ,VESA Preto 20MK400H;https://m.media-amazon.com/images/I/61FgJP6Fv0L.__AC_SX300_SY300_QL70_ML2_.jpg;60.7;35;12.7;centímetros;2.3;kilograms;
7898620271084;Monitor Aoc 21.5' Led Vga e Hdmi;https://m.media-amazon.com/images/I/61aMKTlGrxL.__AC_SY300_SX300_QL70_ML2_.jpg;55.2;38;11.2;centímetros;3.44;kilograms;
7898620271374;;;;;2.69;kilograms;
7898620270988;PHILIPS Monitor 23,8" LED IPS HDMI Bordas Ultrafinas 242V8A, PRETO, GRANDE;https://m.media-amazon.com/images/I/61IjQIHKM1L.__AC_SX300_SY300_QL70_ML2_.jpg;61;40.2;13.6;centímetros;3.03;kilograms;
7898620271091;Monitor AOC 23,6" LED M2470SWH2 (HDMI/VGA/VESA/Ajuste de Incilinacao/1920x1080 Full HD) - M2470SWH2, Preto;https://m.media-amazon.com/images/I/61wVJJKuwFS.__AC_SX300_SY300_QL70_ML2_.jpg;58.6;43;14.2;centímetros;4.84;kilograms;
7899555689838;;;58.5;54;19.1;cm;3.5;kilograms;
7892509095136;Monitor Samsung LED 23.5" Widescreen Curvo, Full HD, HDMI/VGA, FreeSync - LC24F390FHLMZD;https://m.media-amazon.com/images/I/71IQeEw4pbL.__AC_SX300_SY300_QL70_ML2_.jpg;57.8;39;13.2;centímetros;4.5;kilograms;
7892509121187;Monitor Gamer Curvo Samsung Odyssey 23,5" Fhd com 3000:1 de Contraste - Crg50;https://m.media-amazon.com/images/I/612NQkUoZYL.__AC_SX300_SY300_QL70_ML2_.jpg;57.8;38.8;16.2;centímetros;4.9;kilograms;
7893299955419;Monitor PC Gamer LG 24MS500 24” IPS 100Hz Full HD HDMI 2x;https://m.media-amazon.com/images/I/61oWoZ+68iL._AC_SY300_SX300_.jpg;60.8;41;14.2;centímetros;3.9;kilograms;
7892509126168;MONITOR GAMER SAMSUNG ODYSSEY G30 24" 144Hz 1ms AMD FreeSync Premium;https://m.media-amazon.com/images/I/61rd8zerEqL.__AC_SX300_SY300_QL70_ML2_.jpg;60;38.3;14;centímetros;8.4;kilograms;
7892509095143;Monitor 27" Led Samsung - Full Hd - Hdmi - Curvo - Super Slim - Lc27F390Fhlmzd, Samsung, LC27F390FHLMZD, LED, 27;https://m.media-amazon.com/images/I/71IQeEw4pbL.__AC_SX300_SY300_QL70_ML2_.jpg;70.9;45.1;17.7;centímetros;6.14;kilograms;
7892509120364;Monitor Gamer Samsung 27" FHD,75Hz, HDMI, VGA, Freesync,Preto, Série T350;https://m.media-amazon.com/images/I/51bbd3rst3L.__AC_SX300_SY300_QL70_ML2_.jpg;74;42.5;13;centímetros;4.9;kilograms;
7893299917530;Monitor LG 29" UltraWide Full HD Inclinação 75Hz 5ms Branco 29WK600-WAWZ;https://m.media-amazon.com/images/I/51mHapX90SL.__AC_SX300_SY300_QL70_ML2_.jpg;81;40.1;15.5;centímetros;4.7;kilograms;
7893299917714;LG, 29WL500, Monitor Ultrawide 29WL500-29", 21:9 IPS, HDMI, HDR10, Screen Split 2.0, Preto;https://m.media-amazon.com/images/I/61rzy5ZSwrL.__AC_SX300_SY300_QL70_ML2_.jpg;83;41;16;centímetros;5.2;kilograms;
