codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7896637689229;Fechadura Digital Intelbras FR 630 Preto;https://m.media-amazon.com/images/I/516edNWUFXL.__AC_SX300_SY300_QL70_ML2_.jpg;43.5;33.6;11.5;centímetros;3.8;quilogramas;
7899298688228;Fechadura Smart de Embutir sem Maçaneta MFD 7001 Intelbras;https://m.media-amazon.com/images/I/61N6vPU7JcL.__AC_SX300_SY300_QL70_ML2_.jpg;41;32;11;cm;2.86;quilogramas;
7899298675501;Fechadura Inteligente de Sobrepor MFR 1001 Preto Intelbras;https://m.media-amazon.com/images/I/41L3EkQE3wL.__AC_SX300_SY300_QL70_ML2_.jpg;26.2;20.7;8.8;centímetros;1.25;quilogramas;
7899298700043;FECHADURA INTELIGENTE DE SOBREPOR MFD 2020 (PRETA);https://m.media-amazon.com/images/I/21hi533LLgL.__AC_SY300_SX300_QL70_ML2_.jpg;28;24;9;cm;2;quilogramas;
7896637689366;Fechadura Eletrônica com Leitor de Tag RFID FX 3000 MF Preto Intelbras;https://m.media-amazon.com/images/I/41TSOoZW9kL._AC_SY300_SX300_.jpg;20.8;13.9;12.7;centímetros;1.1;quilogramas;
7898314172499;Fechadura Elétrica Dupla, HDL, 90.01.03.026;https://m.media-amazon.com/images/I/51AN+7Aq+pL._AC_SY300_SX300_.jpg;16.3;11.7;11.2;centímetros;800;g;
7898314172543;Fechadura C90 Dupla Com Botão, HDL, C-90 C90, Cinza;https://m.media-amazon.com/images/I/614F4ej2+BL._AC_SY300_SX300_.jpg;16.2;11.8;10.6;centímetros;1.49;quilogramas;
7898314172512;Fechadura C90 Dupla, HDL, C-90 C90, Cinza;https://m.media-amazon.com/images/I/619uU6gVk6L.__AC_SX300_SY300_QL70_ML2_.jpg;16.7;11.8;11.8;centímetros;10;g;
7896637678223;Fechadura Elétrica de Sobrepor FX 2000 AJ Cinza Intelbras;https://m.media-amazon.com/images/I/41Hlbzaj01L.__AC_SX300_SY300_QL70_ML2_.jpg;19;13.8;13.6;centímetros;1.56;g;
7896637678216;Fechadura Elétrica de Sobrepor FX 2000 AJ Preto Intelbras;https://m.media-amazon.com/images/I/41flIzDjkLL.__AC_SX300_SY300_QL70_ML2_.jpg;19.2;13.8;13.6;centímetros;1.56;g;
7896637678209;Fechadura Elétrica Residencial Intelbras FX 2000 U N Cinza;https://m.media-amazon.com/images/I/41eXF8+t0+L._AC_SY300_SX300_.jpg;19;13.8;13.4;centímetros;1.56;g;
7896637675246;Fechadura Elétrica Cilindro Fixo Fx2000 Cinza Intelbras;https://m.media-amazon.com/images/I/41zN5XU+VqL._AC_SY300_SX300_.jpg;19;13.8;13.4;centímetros;1.6;quilogramas;
7896637680301;Fechadura Elétrica de Sobrepor Intelbras FX 2000 Preto;https://m.media-amazon.com/images/I/41huFbtYfhL.__AC_SX300_SY300_QL70_ML2_.jpg;19.8;15.4;14.6;centímetros;1.6;quilogramas;
7896637678193;Fechadura Elétrica de Sobrepor Fixo FX 2000 UN Preto Intelbras;https://m.media-amazon.com/images/I/41huFbtYfhL.__AC_SX300_SY300_QL70_ML2_.jpg;20;13.8;13.2;centímetros;1.56;quilogramas;
7896637685870;Fechadura Elétrica de Sobrepor Fx 500 Preto Intelbras;https://m.media-amazon.com/images/I/41m4uooV4FL.__AC_SX300_SY300_QL70_ML2_.jpg;15.8;10.6;10;centímetros;4;quilogramas;
7899298633976;Fechadura Elétrica de Sobrepor FX 1500 Cinza Intelbras;https://m.media-amazon.com/images/I/41UODnGD0ZL.__AC_SX300_SY300_QL70_ML2_.jpg;17.4;11.5;10.5;centímetros;1.2;quilogramas;
7896637684910;Fechadura Elétrica Intelbras com Cilindro Fixo Fx 2000 Inox;https://m.media-amazon.com/images/I/41pTZdySauL.__AC_SX300_SY300_QL70_ML2_.jpg;19.2;14.2;13.6;centímetros;1.56;quilogramas;
7896637671026;FECHADURA FE 20150 PRATA S/SENSOR;https://m.media-amazon.com/images/I/5184PEVU-nL.__AC_SX300_SY300_QL70_ML2_.jpg;22.4;9.2;7.8;centímetros;1.53;kilograms;
7896637660150;FECHADURA ELETROIMA FS150 12V KIT ELITE COM SENSOR;https://m.media-amazon.com/images/I/51tWMObliLL.__AC_SX300_SY300_QL70_ML2_.jpg;22.8;12.4;11;centímetros;2;kilograms;
7896637660082;KT 753 Fechadura-eletroímã 150 Kgf para portas deslizantes;https://m.media-amazon.com/images/I/51W5gW6d3dL.__AC_SX300_SY300_QL70_ML2_.jpg;20;20;20;centímetros;4;quilogramas;
7896637659512;Fechadura Digital Intelbras FR300;https://m.media-amazon.com/images/I/51UIw7UrwkL.__AC_SX300_SY300_QL70_ML2_.jpg;24;6;4;centímetros;2.5;kilograms;
7896637600996;Fechadura Eletroímã Intelbras 300 Kgf Com Sensor Fe 10300;https://m.media-amazon.com/images/I/417OxyMUKnL.__AC_SX300_SY300_QL70_ML2_.jpg;35;10;7;cm;1;kilograms;
7899298672678;Fechadura Inteligente de Sobrepor Para Portas de Vidro MFR 4000 Preto Intelbras;https://m.media-amazon.com/images/I/61W2h1dXlhL.__AC_SX300_SY300_QL70_ML2_.jpg;29.4;25.7;10.4;centímetros;1.66;quilogramas;
7899298652816;Fechadura Smart de Embutir Com Maçaneta Compatível com Alexa IFR 7000 Prata Intelbras;https://m.media-amazon.com/images/I/314g70Uta+L._AC_SY300_SX300_.jpg;36;31;10;centímetros;2.68;quilogramas;
7896637643092;Fechadura Inteligente Smart de Embutir com Maçaneta e Biometria IZY IFR 7000 Preta Intelbras;https://m.media-amazon.com/images/I/41FWX5TOLaL.__AC_SX300_SY300_QL70_ML2_.jpg;35.9;31.3;10.8;centímetros;662;g;
7896637643191;Fechadura Inteligente Izy Smart de Embutir Sem Maçaneta IFR 7001 Preto Intelbras;https://m.media-amazon.com/images/I/41slKxeDIpL.__AC_SX300_SY300_QL70_ML2_.jpg;36.2;31.2;10.3;centímetros;474;g;
