codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7898963836995;Headset Motospeed H11 Fone e Microfone;https://m.media-amazon.com/images/I/81dFJhfNhdL.__AC_SX300_SY300_QL70_ML2_.jpg;26;21.3;11.6;centímetros;520;g;
7897982203825;Bright 0507, Fone de Ouvido com Microfone, Cabo 2M, preto;https://m.media-amazon.com/images/I/51qnXwu467L.__AC_SX300_SY300_QL70_ML2_.jpg;19.8;17.8;9.4;centímetros;0.25;g;
7898555213746;C3Tech Headset Gaming PH-G10BK Flycatcher Preto - Com Microfone Driver de 40mm Conector P2 3.5mm Áudio Stereo USB para Iluminação, acoplamento de ouvido circumaural OVER-EAR;https://m.media-amazon.com/images/I/51JybXdaJtL.__AC_SX300_SY300_QL70_ML2_.jpg;29.8;26;13;centímetros;400;g;
7898555219540;;;7.2;17.5;16;cm;170;g;
7898555219533;Headset C3Tech PH-90BK preto 1xP2 3.5mm Circumaural (Over-Ear) Possui Microfone Stereo Integrado Ajuste de Volume no Cabo Alto-Falante 40mm;https://m.media-amazon.com/images/I/51HtnXpejjL.__AC_SX300_SY300_QL70_ML2_.jpg;18.4;16.4;6.6;centímetros;135;g;
7898149186098;Fone De Ouvido Multilaser Headset Stereo Com Fio 32 Ω Preto P2 - PH002;https://m.media-amazon.com/images/I/61hvVgir0hL.__AC_SX300_SY300_QL70_ML2_.jpg;25;16;5;centímetros;110;g;
7899838807423;Headset Gamer P2 Preto/Verde Multi - PH146;https://m.media-amazon.com/images/I/41BEj50W-sL.__AC_SX300_SY300_QL70_ML2_.jpg;21.4;21.2;8.4;centímetros;0.25;g;
7898506460175;Headset Gamer P2 Preto/Vermelho Multilaser - PH073;https://m.media-amazon.com/images/I/417BQbWyCbL.__AC_SX300_SY300_QL70_ML2_.jpg;19.4;19;8;centímetros;275;g;
7898555217140;Headset Gamer C3 Tech, USB Preto, HARRIER multicores, PH-G330BK;https://m.media-amazon.com/images/I/51Ts4+dHSJL._AC_SY300_SX300_.jpg;23.6;21;13;centímetros;315;g;
7897982204969;Bright Headset Fone Gamer USB 7.1 áudio surround com haste regulável, controle de volume, microfone integrado, som virtual 7.1 e na captação de voz Preto;https://m.media-amazon.com/images/I/61dooZI+AKL._AC_SY300_SX300_.jpg;28.2;20.6;9;centímetros;0.25;g;
7898555217263;Headset C3Plus PH-02BK Preto - Com Microfone Arco com Ajuste de Altura Conexão P2 Impedância de 32Ohms, Pequeno;https://m.media-amazon.com/images/I/41yqI+TBTrL._AC_SY300_SX300_.jpg;25;18.2;6.8;centímetros;115;g;
7898555219496;;;17.5;17;8;cm;182;g;
7898555218048;Headset C3Tech PH-60BK Voice ComFort Preto - Com Microfone Integrado Controlador de Volume no Cabo Conexão P2 Microfone com Haste Flexível Impedância de 32Ohms Áudio Stereo, Médio;https://m.media-amazon.com/images/I/41D9v6goeiL.__AC_SY300_SX300_QL70_ML2_.jpg;22.9;17.2;10.4;centímetros;182;g;
7898506463664;Fone De Ouvido Multilaser Headphone Som Hi-Fi Power Microf.Handsfree Rosa - PH088;https://m.media-amazon.com/images/I/61DBogDqzOL.__AC_SX300_SY300_QL70_ML2_.jpg;21.4;14;6.8;centímetros;190;g;
7898700012200;ELG, EPB-MAX5BK, Headphone Sem Fio, Bluetooth 5.1 com Microfone, Wireless, Graves Marcantes, Fone com Alta Definição Sonora, Autonomia de Até 20h, Preto;https://m.media-amazon.com/images/I/51pLTnfjGjL.__AC_SX300_SY300_QL70_ML2_.jpg;30.8;26.4;7.9;centímetros;300;g;
7898700012194;ELG, EPB-MAX5WH, Headphone Sem Fio, Bluetooth 5.1 com Microfone, Wireless, Graves Marcantes, Fone com Alta Definição Sonora, Autonomia de Até 20h, Branco;https://m.media-amazon.com/images/I/51M5wo1PagL.__AC_SX300_SY300_QL70_ML2_.jpg;35.9;30.6;7.7;centímetros;300;g;
7899838838564;Smartogo Fone De Ouvido Bluetooth Preto - PH256;https://m.media-amazon.com/images/I/31H2g2upFwL.__AC_SX300_SY300_QL70_ML2_.jpg;12.6;5;3;centímetros;0.04;g;
7899838838571;Smartogo Fone De Ouvido Bluetooth Branco - PH257;https://m.media-amazon.com/images/I/317NWFU+T2L._AC_SY300_SX300_.jpg;12.6;5;2.5;centímetros;10;g;
7899838833316;Fone de Ouvido Pop Bluetooth P2 Preto Multi - PH246;https://m.media-amazon.com/images/I/91s62BMGhJL.__AC_SX300_SY300_QL70_ML2_.jpg;20.5;18;8;centímetros;300;g;
7898555213760;Headset Gamer C3Tech PH-G11BK Sparrow Preto - Com Microfone Driver de 40mm Conector P2 3.5mm Áudio Stereo, Grande;https://m.media-amazon.com/images/I/51tsDVZ4zCL.__AC_SX300_SY300_QL70_ML2_.jpg;23.8;21;13;centímetros;420;g;
7898149189983;Fone de Ouvido com Microfone Profissional Big Grafite P2 - PH031, Multilaser;https://m.media-amazon.com/images/I/61SESibhMBL.__AC_SX300_SY300_QL70_ML2_.jpg;23;23;23;centímetros;500;g;
7898615159496;Fone de Ouvido Gamer - com LED e Microfone - PX 6 - Camuflado;https://m.media-amazon.com/images/I/51r0u0Ah1rL.__AC_SX300_SY300_QL70_ML2_.jpg;24.2;23.6;11;centímetros;490;g;
7898554605573;;;20;20;9;cm;34;g;
7898555214965;Fone Bluetooth 4.2, C3Tech, Ph-B600Bk, Preto;https://m.media-amazon.com/images/I/71OTBlkPMRL.__AC_SX300_SY300_QL70_ML2_.jpg;20.6;16.8;7.4;centímetros;160;g;
7898555219731;C3Tech Fone de ouvido Intra EP-07BK Preto com microfone integrado funcao Handsfree;https://m.media-amazon.com/images/I/31T6Yo5d-tL.__AC_SX300_SY300_QL70_ML2_.jpg;17;7.8;2.4;centímetros;14;g;
7898555212817;Fone de Ouvido Intra Spirit, C3Tech, 410030580200, Branco;https://m.media-amazon.com/images/I/41qDTe54FWL.__AC_SX300_SY300_QL70_ML2_.jpg;16.8;7.8;2.2;centímetros;13;g;
7899838806952;Fone de Ouvido, Multilaser, Multicor;https://m.media-amazon.com/images/I/51DwZ4lm0+L._AC_SY300_SX300_.jpg;11.8;3;2.2;centímetros;0.03;g;
