codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7896637680097;Sensor de Presença para Iluminação ESP 180 AE Branco;https://m.media-amazon.com/images/I/41h2F+WQF6L._AC_SY300_SX300_.jpg;23;16.4;7.4;centímetros;500;g;
7896637679763;Sensor de Presença, Intelbras, ESP 180 E, Branco;https://m.media-amazon.com/images/I/31a4pxAnqbL.__AC_SX300_SY300_QL70_ML2_.jpg;20.6;12.6;4.2;centímetros;0.08;g;
7896637679756;intelbras Sensor de Presença para Iluminação ESP 180 E+ Branco;https://m.media-amazon.com/images/I/51xRuFOMMLL.__AC_SX300_SY300_QL70_ML2_.jpg;21;13;4.6;centímetros;0.09;g;
7896637679749;Sensor de Presença para Iluminação, Intelbras, ESP 360, Branco;https://m.media-amazon.com/images/I/519UP+VwI2L._AC_SY300_SX300_.jpg;20.2;16.8;4.4;centímetros;0.11;g;
7896637680066;Sensor de Presença para Iluminação ESP 360 + Branco Intelbras;https://m.media-amazon.com/images/I/41YupaINiPL.__AC_SX300_SY300_QL70_ML2_.jpg;22;16.4;7;centímetros;0.12;g;
7896637680615;Interruptor Sensor de Presença para Iluminação ESP 360A Branco Intelbras;https://m.media-amazon.com/images/I/31KOdCZ7vAL.__AC_SX300_SY300_QL70_ML2_.jpg;16.5;10;7;centímetros;;;
7896637682091;Interruptor Sensor de Presença para Iluminação, Intelbras 360 E;https://m.media-amazon.com/images/I/41XK9MKnVnL.__AC_SX300_SY300_QL70_ML2_.jpg;20;16.7;8;centímetros;0.08;g;
7899298652984;Interruptor Smart Wi-Fi Touch Compatível com Alexa Com 4 Teclas EWS 1004 Branco Intelbras;https://m.media-amazon.com/images/I/311PwEKwGgL.__AC_SX300_SY300_QL70_ML2_.jpg;13.3;12.3;4.3;centímetros;165;g;
7899298652991;Interruptor Touch Inteligente Compatível com Alexa 4 Teclas EWS 1004 Preto Intelbras;https://m.media-amazon.com/images/I/31QaWQrwgAL.__AC_SX300_SY300_QL70_ML2_.jpg;13.6;12.4;4.6;centímetros;165;g;
7899298637899;Interruptor Touch Inteligente Compatível com Alexa EWS 1101 Branco Intelbras;https://m.media-amazon.com/images/I/31wcjVyBSHL.__AC_SX300_SY300_QL70_ML2_.jpg;14.2;9.4;5.4;centímetros;;;
7899298638629;Interruptor Touch Inteligente, Compatível com Alexa, EWS 1101 Preto, Intelbras;https://m.media-amazon.com/images/I/31amOc62UDL.__AC_SX300_SY300_QL70_ML2_.jpg;14.2;9.4;5.2;centímetros;240;g;
7899298653004;Intelbras, EWS 1006, Interruptor Touch Smart Wi-Fi com 6 teclas, Branco;https://m.media-amazon.com/images/I/31g9+QMqW6L._AC_SY300_SX300_.jpg;13.6;12.6;4.4;centímetros;550;g;
7899298653103;Interruptor Smart Wi-Fi Touch Compatível com Alexa 6 Teclas EWS 1006 Preto Intelbras;https://m.media-amazon.com/images/I/41iVtzdf87L.__AC_SX300_SY300_QL70_ML2_.jpg;13.6;12.6;4.6;centímetros;40;g;
7899298620693;Interruptor Touch Inteligente Compatível com Alexa Com 1 Tecla EWS 1001 Branco Intelbras;https://m.media-amazon.com/images/I/31e2rhHcEOL.__AC_SX300_SY300_QL70_ML2_.jpg;14.6;9;5;centímetros;;;
7899298620709;Interruptor Touch Inteligente Compatível com Alexa Com 1 Tecla Compatível com Alexa EWS 1001 Preto Intelbras;https://m.media-amazon.com/images/I/51Q7smBsSnL.__AC_SX300_SY300_QL70_ML2_.jpg;14.4;8.4;4.5;centímetros;165;g;
7899298620648;Interruptor Smart Wi-Fi Touch 2 Intelbras EWS 1002 Branco;https://m.media-amazon.com/images/I/11-jo7Q+tzL._SX342_SY445_.jpg;;;;;
7899298620655;Interruptor Touch Inteligente Compatível Com Alexa Com 2 Teclas EWS 1002 Preto Intelbras;https://m.media-amazon.com/images/I/510tnSzOnXL.__AC_SX300_SY300_QL70_ML2_.jpg;14.4;8.4;4.8;centímetros;165;g;
7899298620570;Interruptor Touch Inteligente Compatível Com Alexa Com 3 Teclas EWS 1003 Branco Intelbras;https://m.media-amazon.com/images/I/51K1C3EGxJL.__AC_SX300_SY300_QL70_ML2_.jpg;14;9;5;centímetros;165;g;
7899298620624;Interruptor Touch Inteligente Compatível Com Alexa Com 3 Teclas EWS 1003 Preto Intelbras;https://m.media-amazon.com/images/I/31aDRzQ1LYL.__AC_SX300_SY300_QL70_ML2_.jpg;14.6;8.6;5;centímetros;165;g;
7899838822990;Irrigador Oral Clearpik Portable 200ml Recarregável Multi Saúde - HC036;https://m.media-amazon.com/images/I/41fgVKfEqjL.__AC_SX300_SY300_QL70_ML2_.jpg;25;16;9.2;centímetros;0.58;g;
7896637674133;ISOLADOR DE LAÇO Intelbras IDL 520;https://m.media-amazon.com/images/I/5126HNVtoqL.__AC_SY300_SX300_QL70_ML2_.jpg;20;20;20;centímetros;150;g;
