codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7896637643672;Extensao de áUDIO para Video Porteiro Intelbras VP 1000 AE Fone Interno Branco;https://m.media-amazon.com/images/I/41UkHThJT7L.__AC_SX300_SY300_QL70_ML2_.jpg;20;9;7;centímetros;300;g;
7896637679213;Extensão de Áudio para Vídeo Porteiro intelbras 1010 EA Branco;https://m.media-amazon.com/images/I/31QtYaAk3wL.__AC_SX300_SY300_QL70_ML2_.jpg;19.8;9.4;6.6;centímetros;0.26;g;
7899298675358;;;;;417;g;
7899298675310;;;;;;;
7899298675037;Extensão Elétrica 3 Tomadas 2 Pinos 10a 3m EXT 2003 Branco Intelbras;https://m.media-amazon.com/images/I/314xKLFZKnL.__AC_SX300_SY300_QL70_ML2_.jpg;33;11;2;centímetros;180;g;
7899298675327;Extensão Elétrica 3 Tomadas 2 Pinos 10a 3m EXT 2003 Preto Intelbras;https://m.media-amazon.com/images/I/41JZV-Y+beL._AC_SY300_SX300_.jpg;19.4;9;2;centímetros;180;g;
7899298675334;Extensão Elétrica 3 Tomadas 2 Pinos 10a 5m EXT 2005 Branco Intelbras;https://m.media-amazon.com/images/I/314xKLFZKnL.__AC_SX300_SY300_QL70_ML2_.jpg;8.5;4.3;3.6;centímetros;240;g;
7899298675341;Extensão Elétrica 3 Tomadas 3 Pinos 10A 3m EXT 3003 Branco Intelbras;https://m.media-amazon.com/images/I/31Re+ja-aZL._AC_SY300_SX300_.jpg;34.6;15.9;5;centímetros;300;g;
7899298675105;Extensão Elétrica 3 Tomadas 3 Pinos 10a 5m EXT 3005 Branco Intelbras;https://m.media-amazon.com/images/I/31Re+ja-aZL._AC_SY300_SX300_.jpg;16.3;4.6;3.6;centímetros;423;g;
7899298676768;;;;;440;g;
7898555217485;FILTRO DE LINHA COLETEK, EXTENSAO COM 8TOMADAS - FL-82BK;https://m.media-amazon.com/images/I/51lcNCysZbL.__AC_SX300_SY300_QL70_ML2_.jpg;31.6;13.8;3.8;centímetros;330;g;
7896637677424;Extensao óPTICA Intelbras XFE2 SC/APC SM 2MM 3M 4830047;https://m.media-amazon.com/images/I/512ntfZvGLL.__AC_SX300_SY300_QL70_ML2_.jpg;20;20;20;centímetros;20;g;
7896637619486;Módulo Interno para Porteiro Residencial IPR 8000 IN Branco Intelbras;https://m.media-amazon.com/images/I/318lW57lRcL.__AC_SX300_SY300_QL70_ML2_.jpg;19.8;11;6.6;centímetros;0.2;g;
7897013557224;;;1000;5;4;cm;434;g;
7897013548529;Extensão Elétrica 3 Tomadas Elgin Cabo de 3 metros Bivolt Preto;https://m.media-amazon.com/images/I/61vYahMxiFL.__AC_SX300_SY300_QL70_ML2_.jpg;27.8;13.6;4.4;centímetros;252;g;
7897013557217;Extensão Elétrica 3 Tomadas Elgin Cabo de 5 metros Bivolt Preto;https://m.media-amazon.com/images/I/41hgh4FQTFL.__AC_SX300_SY300_QL70_ML2_.jpg;20.6;9.6;3.4;centímetros;272;g;
7896637683524;;;20;8;14.5;cm;0.39;g;
7899298626831;Extensor HDMI + Infravermelho VEX 3120 Preto Intelbras;https://m.media-amazon.com/images/I/41y0T+BChUL._AC_SX300_SY300_.jpg;20.4;15.2;8.2;centímetros;580;g;
7896637683517;Vídeo Extensor HDMI Intelbras VEX 3120 Preto;https://m.media-amazon.com/images/I/41313lnFftL.__AC_SX300_SY300_QL70_ML2_.jpg;15.2;11.8;8;centímetros;0.27;g;
7896637683494;intelbras Vídeo Extensor HDMI VEX 1050 Preto, VEX 1050 HDMI;https://m.media-amazon.com/images/I/415bYXqi60L.__AC_SX300_SY300_QL70_ML2_.jpg;18.1;12.9;3.9;centímetros;0.04;g;
7899298631873;Extensor USB VEX 1050 G2 Preto Intelbras;https://m.media-amazon.com/images/I/51g8kcZL7gL.__AC_SX300_SY300_QL70_ML2_.jpg;13.6;13;2.4;centímetros;150;g;
