codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7899744021128;PIX Cabo Hdmi Gold 2-4K Hdr 19P 8M;https://m.media-amazon.com/images/I/61sLzzp37IL.__AC_SY300_SX300_QL70_ML2_.jpg;22;18.2;3.6;centímetros;480;g;
7899744021173;PIX Cabo HDMI 2.0 4K 19 Pinos - Plug 90 Graus, 10 Metros;https://m.media-amazon.com/images/I/51yZuH74m0L.__AC_SX300_SY300_QL70_ML2_.jpg;19.2;17.2;4.6;centímetros;0.59;g;
7899744021159;PIX Cabo HDMI 2.0 4K 19 Pinos - Plug 90 Graus, 5 Metros;https://m.media-amazon.com/images/I/614efAP8dXL.__AC_SX300_SY300_QL70_ML2_.jpg;19.4;13.6;3.2;centímetros;0.2;g;
7898554603012;Cabo HDMI 1.4 3D 1,8M HDC-102/1.8M Preto Lite;https://m.media-amazon.com/images/I/51c4jjGwwAS.__AC_SX300_SY300_QL70_ML2_.jpg;22;16;4;centímetros;600;g;
7899744026321;PIX Cabo Micro HDMI X HDMI 2.0 4K ULTRAHD, 2 Metros;https://m.media-amazon.com/images/I/613dCqTWMYL.__AC_SX300_SY300_QL70_ML2_.jpg;20;17;1.4;centímetros;70;g;
7897013536373;Cabo HDMI-HDMI Elgin Conector Banhado à Ouro de 1,8 Metros;https://m.media-amazon.com/images/I/61NRmpeNPzL.__AC_SX300_SY300_QL70_ML2_.jpg;22.8;8.8;3.4;centímetros;85;g;
7899744003650;PIX Cabo HDMI 1.4 4K ULTRAHD, 2 Metros;https://m.media-amazon.com/images/I/611NIuYMEFL.__AC_SY300_SX300_QL70_ML2_.jpg;15.4;10.4;2;centímetros;0.1;g;
7897013540240;Cabo HDMI-HDMI Elgin Conector Banhado à Ouro 3 Metros;https://m.media-amazon.com/images/I/41y9efirzNL.__AC_SY300_SX300_QL70_ML2_.jpg;22.2;8.4;5.6;centímetros;140;g;
7899744003681;PIX Cabo HDMI 1.4 4K ULTRAHD, 10 Metros;https://m.media-amazon.com/images/I/61J1PbjwyNL.__AC_SX300_SY300_QL70_ML2_.jpg;24.2;20.2;4.6;centímetros;640;g;
7899744021111;PIX Cabo Hdmi 2.0 4K Hdr 19P 3M Gold, Preto;https://m.media-amazon.com/images/I/51kY3eQ6tfL.__AC_SX300_SY300_QL70_ML2_.jpg;20.2;18.6;2.6;centímetros;0.13;g;
7899744021104;PIX Cabo Hdmi 2.0 4K Hdr 19P 5M Gold, 5 metros, Preto;https://m.media-amazon.com/images/I/51NiEhI3TeL.__AC_SX300_SY300_QL70_ML2_.jpg;21.8;18.2;2.6;centímetros;0.2;g;
7898554605351;Cabo 61809, Fortrek, HDM-101/1.8M;https://m.media-amazon.com/images/I/61O65t4-M7L.__AC_SX300_SY300_QL70_ML2_.jpg;17.2;12.4;1;centímetros;90;g;
7896689116858;Brasforma HDMI1402 Cabo HDMI 1.4 4K 3D 1080P Macho x Macho, Preto, 2m;https://m.media-amazon.com/images/I/51mFokYV7uS.__AC_SX300_SY300_QL70_ML2_.jpg;27;16;2;centímetros;93;g;
7898554606952;Cabo HDMI 2.0 4K 1,5M HD201 Preto Fortrek;https://m.media-amazon.com/images/I/71kTwuKZaIL.__AC_SX300_SY300_QL70_ML2_.jpg;18;11.4;1.8;centímetros;72;g;
7898554607027;Cabo HDMI 2.0 4K 1,8m HD202 Fortrek;https://m.media-amazon.com/images/I/51KFT6JuHzL.__AC_SX300_SY300_QL70_ML2_.jpg;19.3;15.5;2;centímetros;300;g;
7898554606907;Cabo HDMI 2.0 4K 20 metros HD2020 FORTREK;https://m.media-amazon.com/images/I/71cQRkAwHHL.__AC_SX300_SY300_QL70_ML2_.jpg;28.8;20.4;7.2;centímetros;1.42;kilograms;
7896689114335;Cabo HDMI 2. 0, Brasforma, Preto, Médio;https://m.media-amazon.com/images/I/51eTs0p9pOL.__AC_SX300_SY300_QL70_ML2_.jpg;20.1;16.7;5.7;centímetros;50;g;
7896689114304;Cabo HDMI 2. 0, Brasforma, HDMI-5002 HDMI5002, PretoPequeno;https://m.media-amazon.com/images/I/51eTs0p9pOL.__AC_SX300_SY300_QL70_ML2_.jpg;23.1;15;1.8;centímetros;50;g;
7896689114380;Brasforma HDMI6005 Cabo HDMI 2.0 4K HD Macho x Macho, Preto, 5 m;https://m.media-amazon.com/images/I/61UT0wjGlcL.__AC_SX300_SY300_QL70_ML2_.jpg;20;12;3;centímetros;480;g;
7898127608543;CABO HDMI 2.0 4K 3D 19 PINOS - 2 METROS;https://m.media-amazon.com/images/I/61NtxARI44L.__AC_SX300_SY300_QL70_ML2_.jpg;25.8;15.2;2.3;centímetros;95;g;
7898554606877;Cabo HDMI 2.0 4K 3M HD203 Preto Fortrek;https://m.media-amazon.com/images/I/419HiG+4r3L._AC_SY300_SX300_.jpg;13.8;13.2;0.6;centímetros;130;g;
7898554606884;Cabo HDMI 2.0 4K 5M HD205 Fortrek;https://m.media-amazon.com/images/I/41yR8LdfvVL.__AC_SX300_SY300_QL70_ML2_.jpg;21.5;19.7;4.1;centímetros;300;g;
7899744021135;PIX Cabo HDMI 2.0 4K 19 Pinos - Plug 90 Graus, 2 Metros;https://m.media-amazon.com/images/I/51D5+imZ2UL._AC_SY300_SX300_.jpg;15.2;11.8;2.2;centímetros;0.1;g;
7899744040068;PIX CABO HDMI GOLD 2.1-8K HDR 19P 1.5M, Pix, 018-1015 (Embalagem pode variar);https://m.media-amazon.com/images/I/61sv+HcFjBS._AC_SY300_SX300_.jpg;20.1;13.9;2.6;centímetros;98;g;
7899744038607;Pix Cabo Hdmi Gold 2.1-8K Hd, Pix, Hdmi 2.1;https://m.media-amazon.com/images/I/51QgBejgm2L.__AC_SX300_SY300_QL70_ML2_.jpg;20;11;5;centímetros;100;g;
7899744067195;PIX Cabo HDMI 2.1-8K HDR 19P 5M - Preto;https://m.media-amazon.com/images/I/41asJByrXwL.__AC_SX300_SY300_QL70_ML2_.jpg;18;15.6;3.8;centímetros;440;g;
7898554608086;Cabo HDMI 2.1 8K 1,8m Preto 8K-018 Fortrek;https://m.media-amazon.com/images/I/51NbjWSSjdL.__AC_SX300_SY300_QL70_ML2_.jpg;19.5;15.8;1.6;centímetros;80;g;
7896689117862;Brasforma HDMI8002 Cabo HDMI 2.1 8K 3D 2160P Macho x Macho, Preto, 2m;https://m.media-amazon.com/images/I/51KaHoJncML.__AC_SX300_SY300_QL70_ML2_.jpg;21.9;7.9;3;centímetros;140;g;
7898939561920;Cabo HDMI Flat 3D 1.4 Newlink CB104- 3 Metros;https://m.media-amazon.com/images/I/51nQAtHQhOL.__AC_SX300_SY300_QL70_ML2_.jpg;21.2;14.6;5;centímetros;240;g;
7899298656944;Cabo de Rede Impact Giga UTP Cat6 4P IG6CCZ Cinza Intelbras;https://m.media-amazon.com/images/I/31Qw-pLiFwL.__AC_SX300_SY300_QL70_ML2_.jpg;46.3;42.8;22.4;centímetros;13.3;kilograms;
7899298659532;Cabo de Rede Impact Utp Cat6 4P IG6CPR Preto Intelbras;https://m.media-amazon.com/images/I/61BAf9Vp9YL.__AC_SX300_SY300_QL70_ML2_.jpg;44.5;44;26;centímetros;13.2;kilograms;
7899298655077;Cabo de rede Impact Lan UTP CAT5E 4P Cinza Intelbras;https://m.media-amazon.com/images/I/319Bl1SOwDL.__AC_SX300_SY300_QL70_ML2_.jpg;35;32.3;22.9;centímetros;9.09;kilograms;
7899838818481;CABO LIGHTING IPHONE 8 PINOS 1M PT WI327, Multilaser, 26762;https://m.media-amazon.com/images/I/41qeSkpINGL.__AC_SY300_SX300_QL70_ML2_.jpg;12.2;3.2;2.4;centímetros;;;
7899838818498;CABO LIGHTING IPHONE 8 PINOS 1M BR WI328, Multilaser, 26763;https://m.media-amazon.com/images/I/51o6ILD5wwL.__AC_SX300_SY300_QL70_ML2_.jpg;12;3;2.5;centímetros;0.02;g;
7898378709006;Cabo Lightning, Elg, L810, Branco;https://m.media-amazon.com/images/I/31Zv2XU47BL._SY445_SX342_QL70_ML2_.jpg;;;;;
7898506465903;Cabo Multilaser De Dados Lighting 8Pin Para Ios Ipod Ipad - WI256;https://m.media-amazon.com/images/I/51vaesU+REL._AC_SX300_SY300_.jpg;16.4;7;1.8;centímetros;0.1;g;
7898700010572;Cabo Micro USB Emborrachado de Alta Performance 1,2M Branco - ELG M512W;https://m.media-amazon.com/images/I/41N+dzyKeWL._AC_SY300_SX300_.jpg;17.8;8;2.2;centímetros;60;g;
