codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7899298652991;Interruptor Smart Wi-Fi Touch 6 teclas EWS 1006 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/168973-800-auto?v=638219112465000000&width=800&height=auto&aspect=true;11.8;11.8;4;cm;0.38;kg;
7899298637899;Interruptor Dimmer Smart Wi-Fi Touch Intelbras EWS 1101 Branco;https://intelbras.vtexassets.com/arquivos/ids/168543-800-auto?v=638188091094630000&width=800&height=auto&aspect=true;11.9;7.2;4;cm;0.175;kg;
7899298638629;Interruptor Dimmer Smart Wi-Fi Touch Intelbras EWS 1101 Preto;https://intelbras.vtexassets.com/arquivos/ids/168547-800-auto?v=638188092319600000&width=800&height=auto&aspect=true;11.9;7.2;4;cm;0.175;kg;
7899298620693;Interruptor Inteligente Touch Wi-Fi 1 Tecla EWS 1001 Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/169411-800-auto?v=638285690351530000&width=800&height=auto&aspect=true;11.8;7.2;3.9;cm;0.17;kg;
7899298620709;Interruptor Inteligente Touch Wi-Fi 1 Tecla Preto - Intelbras EWS 1001 PT;https://intelbras.vtexassets.com/arquivos/ids/169406-800-auto?v=638285689199930000&width=800&height=auto&aspect=true;11.8;7.2;3.9;cm;0.17;kg;
7899298620648;Interruptor Inteligente Touch Wi-Fi 2 Teclas Branco - Intelbras EWS 1002 BR;https://intelbras.vtexassets.com/arquivos/ids/169401-800-auto?v=638285688271030000&width=800&height=auto&aspect=true;11.8;7.2;3.9;cm;0.17;kg;
7899298620655;Interruptor Inteligente Touch Wi-Fi 2 Teclas Preto - Intelbras EWS 1002 PT;https://intelbras.vtexassets.com/arquivos/ids/169396-800-auto?v=638285687402630000&width=800&height=auto&aspect=true;11.8;7.2;3.9;cm;0.17;kg;
7899298620570;Interruptor Inteligente Touch Wi-Fi 3 Teclas EWS 1003 Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/169390-800-auto?v=638285686477770000&width=800&height=auto&aspect=true;11.8;7.2;3.9;cm;0.17;kg;
7899298620624;Interruptor Inteligente Touch Wi-Fi 3 Teclas Preto - Intelbras EWS 1003 PT;https://intelbras.vtexassets.com/arquivos/ids/169385-800-auto?v=638285685675700000&width=800&height=auto&aspect=true;11.8;7.2;3.9;cm;0.17;kg;
7896637634168;Lâmpada LED Inteligente Wi-Fi E27 Intelbras EWS 410;https://intelbras.vtexassets.com/arquivos/ids/169382-800-auto?v=638285681522900000&width=800&height=auto&aspect=true;12;6;6;cm;0.062;kg;
7896637674300;Luminária de Emergência Autônoma Intelbras LDE 30L;;;;;
7896637628341;Luminaria de Emergência Autônoma Intelbras LEA 150;;;;;
7896637680752;Luminária de Emergência Autônoma Intelbras LEA 30;https://intelbras.vtexassets.com/arquivos/ids/155945-800-auto?v=637063310645530000&width=800&height=auto&aspect=true;16;4.1;2.56;cm;0.094;;
7899298649663;Luminária de Emergência Autônoma Intelbras LEA 31;https://intelbras.vtexassets.com/arquivos/ids/169467-800-auto?v=638285728407470000&width=800&height=auto&aspect=true;17.5;4.8;2.8;cm;0.11;kg;
7899298629924;Luminária Solar Integrada Intelbras LSI 1600;https://intelbras.vtexassets.com/arquivos/ids/164689-800-auto?v=637867751966770000&width=800&height=auto&aspect=true;49.25;23.19;5.8;cm;2;kg;
7899298622666;Luminária Solar Integrada Intelbras LSI 4800;https://intelbras.vtexassets.com/arquivos/ids/165024-800-auto?v=637903134918570000&width=800&height=auto&aspect=true;49.25;23.19;5.8;cm;2;kg;
7896637641487;Cartão de Memória MicroSD 128GB com 3 anos de Garantia Intelbras;;;;;
7896637641418;Cartão de Memória MicroSD 256GB com 3 anos de Garantia Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167629-800-auto?v=638143092833330000&width=800&height=auto&aspect=true;1.5;1.1;0.01;cm;0.0025;kg;
7896637642569;Cartão de Memória MicroSD 32GB com 3 anos de Garantia Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167625-800-auto?v=638143089127430000&width=800&height=auto&aspect=true;13.14;8.06;0.94;cm;0.02;kg;
7896637641579;Cartão de Memória MicroSD 64GB com 3 anos de Garantia Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167626-800-auto?v=638143090071200000&width=800&height=auto&aspect=true;13.14;8.06;0.94;cm;0.01;kg;
7899298628774;Minibotão Inteligente Intelbras ISW 1001;https://intelbras.vtexassets.com/arquivos/ids/169359-800-auto?v=638285675576170000&width=800&height=auto&aspect=true;5;5;1.6;cm;0.02;kg;
7896637659376;Módulo Interno com tela LCD 4" IV 4000 HS IN Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167706-800-auto?v=638143891519900000&width=800&height=auto&aspect=true;20.2;18.8;6;cm;0.5;;
7899298617686;Módulo de Bateria MB 0145 12V;https://intelbras.vtexassets.com/arquivos/ids/163972-800-auto?v=637814036228200000&width=800&height=auto&aspect=true;26.1;25.3;21;cm;15.3;kg;
