codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7896637694155;Módulo Externo de Vídeo Porteiro Allo wT7 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/157646-800-auto?v=637188502264000000&width=800&height=auto&aspect=true;25.4;17.9;8.5;cm;0.63;kg;
7896637626422;Módulo Interno para Campainha Intelbras CMI Branco;https://intelbras.vtexassets.com/arquivos/ids/159056-800-auto?v=637419294558070000&width=800&height=auto&aspect=true;9.8;7.3;5.8;cm;0.82;kg;
7899298632566;Módulo Interno Campainha Intelbras CMI 101 Branca;;;;;
7899298632634;Módulo Interno Para Campainha Intelbras CMI 101;https://intelbras.vtexassets.com/arquivos/ids/163793-800-auto?v=637806164711100000&width=800&height=auto&aspect=true;8.62;7.62;5.8;cm;0.077;kg;
7896637693721;Módulo Interno para Videoporteiro Intelbras wT7;https://intelbras.vtexassets.com/arquivos/ids/157641-800-auto?v=637188484178530000&width=800&height=auto&aspect=true;23;13.5;1.9;cm;0.384;kg;
7896637618403;Módulo Interno para Videoporteiro com tela de 7” IVR 1070 HS Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167731-800-auto?v=638143934983630000&width=800&height=auto&aspect=true;24.4;19.1;6.1;cm;0.535;kg;
7896637635684;Módulo Interruptor Relé Sem Fio Allo XR1 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/158919-800-auto?v=637395129057370000&width=800&height=auto&aspect=true;6.6;5.1;2.1;cm;0.048;kg;
7896637699969;Mola Hidráulica Aérea Intelbras MH 102 A p/ 45Kg Preta;https://intelbras.vtexassets.com/arquivos/ids/159527-800-auto?v=637497844926900000&width=800&height=auto&aspect=true;14.8;6;5.8;cm;1.07;kg;
7896637619066;Mola Hidráulica Aérea Intelbras MH 103 A p/ 65Kg;https://intelbras.vtexassets.com/arquivos/ids/158685-800-auto?v=637369016050100000&width=800&height=auto&aspect=true;9;7.2;4.25;cm;1.1;kg;
7896637699983;Mola Hidráulica Aérea Intelbras MH 103 A p/ 65Kg Preta;https://intelbras.vtexassets.com/arquivos/ids/159530-800-auto?v=637497855083270000&width=800&height=auto&aspect=true;17.8;6.6;6.4;cm;1.39;kg;
7896637619059;Mola Hidráulica Aérea Intelbras MH 104 A p/ 85Kg;https://intelbras.vtexassets.com/arquivos/ids/158722-800-auto?v=637369162247270000&width=800&height=auto&aspect=true;10.4;7.5;4.25;cm;1.782;kg;
7896637699976;Mola Hidráulica Aérea Intelbras MH 104 A p/ 85Kg Preta;https://intelbras.vtexassets.com/arquivos/ids/159524-800-auto?v=637497763110300000&width=800&height=auto&aspect=true;20.6;7.2;6.85;cm;1.9;kg;
7899298628552;Mouse Click Silencioso e com Fio MCI 10 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/168639-800-auto?v=638192405969230000&width=800&height=auto&aspect=true;10.6;6.3;3.9;cm;0.076;kg;
7899298628545;Mouse com fio e click silencioso Intelbras MCI 20;https://intelbras.vtexassets.com/arquivos/ids/168643-800-auto?v=638192409833100000&width=800&height=auto&aspect=true;10.6;6.3;3.9;cm;0.076;kg;
7899298640363;Mouse Sem Fio Intelbras MSI200 Preto;https://intelbras.vtexassets.com/arquivos/ids/173690-800-auto?v=638811969289300000&width=800&height=auto&aspect=true;10.4;6.4;3.8;cm;m;0.093;kg;
7899298640332;Mouse Click Silencioso Intelbras MSI50 Sem Fio;https://intelbras.vtexassets.com/arquivos/ids/169782-800-auto?v=638339151126300000&width=800&height=auto&aspect=true;10.7;6.2;3.8;cm;0.083;kg;
7899298640349;Mouse sem Fio com Click Silencioso MSI 55 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172769-800-auto?v=638639900548970000&width=800&height=auto&aspect=true;10.7;6.2;3.8;cm;0.083;g;
7899298662488;Nobreak Attiv Seno 1000VA Bivolt Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172725-800-auto?v=638635581974470000&width=800&height=auto&aspect=true;36.2;22.0;13.0;cm;10.4;kg;
7899298628095;Nobreak ATTIV 1200VA Intelbras Bivolt com 8 tomadas;https://intelbras.vtexassets.com/arquivos/ids/162275-800-auto?v=637687047229900000&width=800&height=auto&aspect=true;36.2;22;13;cm;10.325;kg;
7899298628088;Nobreak ATTIV 1200VA 120V com 8 Tomadas 10A Intelbras;https://intelbras.vtexassets.com/arquivos/ids/162269-800-auto?v=637687037601670000&width=800&height=auto&aspect=true;36.2;22;13;cm;9.095;kg;
7899298635772;Nobreak ATTIV 1500VA 220V com 8 tomadas Intelbras;;;;;
7899298635857;Nobreak Interativo Bivolt ATTIV 1500VA-BI Preto Intelbras;;;;;
7899298610717;Nobreak ATTIV 600VA 220V com 4 tomadas 10A Intelbras;https://intelbras.vtexassets.com/arquivos/ids/173258-800-auto?v=638678023286770000&width=800&height=auto&aspect=true;26.9;21.4;21.4;cm;4.866;kg;
7899298610755;Nobreak ATTIV 600 VA Bivolt com 4 Tomadas 120V Intelbras;https://intelbras.vtexassets.com/arquivos/ids/162253-800-auto?v=637685273805470000&width=800&height=auto&aspect=true;26.9;21.4;12.4;cm;6.142;kg;
7896637699877;Nobreak ATTIV 700VA 220V com 4 Tomadas 10A Intelbras;https://intelbras.vtexassets.com/arquivos/ids/159617-800-auto?v=637508885014170000&width=800&height=auto&aspect=true;26.9;21.4;12.4;cm;5;kg;
7896637699884;Nobreak ATTIV 700VA Bivolt com 4 tomadas 10A Intelbras;;;;;
7896637686723;Nobreak para portão Intelbras GNB 1500VA-220V;https://intelbras.vtexassets.com/arquivos/ids/157854-800-auto?v=637208464686530000&width=800&height=auto&aspect=true;19.2;18;13.5;cm;7;kg;
7896637699907;Nobreak ATTIV 700VA 120V com 4 Tomadas 10A Intelbras;https://intelbras.vtexassets.com/arquivos/ids/159614-800-auto?v=637505723119800000&width=800&height=auto&aspect=true;26.9;21.4;12.4;cm;5;kg;
7896637679602;Nobreak Interativo Monovolt Intelbras XNB 1800Va 220V;https://intelbras.vtexassets.com/arquivos/ids/155629-800-auto?v=637063002378270000&width=800&height=auto&aspect=true;35.3;19.8;15.8;cm;11.571;kilos;
7896637679664;Nobreak Interativo Monovolt Intelbras XNB 600Va 220V;https://intelbras.vtexassets.com/arquivos/ids/155637-800-auto?v=637063008092330000&width=800&height=auto&aspect=true;35;21.3;14.2;cm;4.201;kilos;
7896637669542;Nobreak Interativo Monovolt Intelbras XNB 720Va 220V;https://intelbras.vtexassets.com/arquivos/ids/165180-800-auto?v=637915238383470000&width=800&height=auto&aspect=true;35;21.3;14.2;cm;4.101;kilos;
7899298636298;Nobreak Online Isolado Torre DNB 10.0 kVA-220V-ISO-TW-SB Intelbras;;;;;
