codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7899838861296;Mouse Sem Fio Wave Recarregável Bateria de Litío e Compacto Multi - MO277;https://m.media-amazon.com/images/I/41GDzVrnG4L.__AC_SX300_SY300_QL70_ML2_.jpg;17.4;11.6;6;centímetros;300;g;
7898555218925;;;6.5;3.8;10.3;cm;60;gramas;
7898555214026;C3 TECH M-W012BK Mouse sem Fio com Tecnologia Free Smart Link, Preto, até 1600 DPI, 40 x 65 x 105 mm;https://m.media-amazon.com/images/I/51suva+xrGL._AC_SX300_SY300_.jpg;17.6;12.2;5.8;centímetros;60;g;
7898555212367;C3Tech Mouse Sem Fio Preto M-W20BK - Wifi 2.4Ghz, Tecnologia Free Smart Link, 1000DPI, DPI ajustavel; Ambidestro, 4Botoes, Windows, MAC OS,LINUX, CHROME OS;https://m.media-amazon.com/images/I/41MI7BhmHML.__AC_SX300_SY300_QL70_ML2_.jpg;15.8;9.8;5.6;centímetros;100;g;
7898555212374;C3Tech M-W20 Mouse sem Fio RC/Nano, Preto/Azul;https://m.media-amazon.com/images/I/51E2cMXc0nL.__AC_SX300_SY300_QL70_ML2_.jpg;15.8;9.8;5.6;centímetros;100;g;
7898555212381;C3Tech Mouse Sem Fio Vermelho M-W20RD - Wifi 2.4Ghz, Tecnologia Free Smart Link, 1000DPI, DPI ajustavel; Ambidestro, 4Botoes, Windows, MAC OS,LINUX, CHROME OS;https://m.media-amazon.com/images/I/519wawKpq-L.__AC_SX300_SY300_QL70_ML2_.jpg;15.8;10;5.4;centímetros;100;g;
7898555218772;C3Tech Mouse Sem Fio Azul M-W17BL - Wifi 2.4GHz, alcance 12m, Ambidestro, 3 Botões, 1200DPI, Windows, MAC OS, LINUX, CHROME OS;https://m.media-amazon.com/images/I/41P9J1+RAzL._AC_SY300_SX300_.jpg;13;7.4;4.2;centímetros;48;g;
7897975072568;Mouse sem fio 5 botões;https://m.media-amazon.com/images/I/518sasS9qDL.__AC_SX300_SY300_QL70_ML2_.jpg;19.6;9.8;6.6;centímetros;69;g;
7897975049973;Mouse 1000 Dpi, Maxprint, Mouses, Preto, 606157;https://m.media-amazon.com/images/I/41hHWsL2UhL.__AC_SX300_SY300_QL70_ML2_.jpg;12.6;7.2;4.6;centímetros;61;g;
7897975088491;Mouse Techzone Preto/Vermelho, Maxprint, Mouses;https://m.media-amazon.com/images/I/411Dtm+qKeL._AC_SX300_SY300_.jpg;16;9.6;3.8;centímetros;14;g;
7898555210943;Mouse USB, C3Tech, Ms-20Bk, Mouses, 402021060101, Preto;https://m.media-amazon.com/images/I/41fdowOAIKL.__AC_SX300_SY300_QL70_ML2_.jpg;12.5;11.8;4.4;centímetros;89;g;
7898555210950;Mouse USB C3Tech MS-20BL Azul - Compatível com PC e Mac Resoluções até 1000 DPI Com cabo de 115cm Sensor óptico;https://m.media-amazon.com/images/I/51RSCwFSliL.__AC_SX300_SY300_QL70_ML2_.jpg;13.4;8.2;4.2;centímetros;89;g;
7898555210967;Mouse USB C3Tech MS-20RD Vermelho - Compatível com PC e Mac Resoluções até 1000 DPI Com cabo de 115cm Sensor óptico;https://m.media-amazon.com/images/I/41sD-twKREL.__AC_SX300_SY300_QL70_ML2_.jpg;13.6;8.2;4.2;centímetros;89;g;
7898555215764;Mouse USB C3PLUS Preto, MS-35BK;https://m.media-amazon.com/images/I/41Ni5-GbHyL.__AC_SX300_SY300_QL70_ML2_.jpg;12.6;7.6;4.4;centímetros;50;g;
7898555218741;C3Tech Mouse USB Preto MS-35BK 1000DPI Ambidestro Compatível MacOS, Linux, Chrome OS, Windows, PC e Mac;https://m.media-amazon.com/images/I/41BMK2K2HTL.__AC_SX300_SY300_QL70_ML2_.jpg;10.4;7.8;4.4;centímetros;50;g;
7899744050975;;;6.4;11;4;cm;56;gramas;
7897975015671;MOUSE SURFACE AZUL COM FIO 1200DPI USB2.0;https://m.media-amazon.com/images/I/4170RWwVZaL.__AC_SX300_SY300_QL70_ML2_.jpg;15;9;3.3;centímetros;72;g;
7897975015657;MOUSE SURFACE BRANCO COM FIO 1200DPI USB2.0;https://m.media-amazon.com/images/I/31txJY5pKYL.__AC_SX300_SY300_QL70_ML2_.jpg;13.4;8.8;3.2;centímetros;72;g;
7897975015664;MOUSE SURFACE ROSA COM FIO 1200DPI USB2.0;https://m.media-amazon.com/images/I/41COQTfe4UL.__AC_SX300_SY300_QL70_ML2_.jpg;16;8.8;3.5;centímetros;72;g;
7897975015640;Mouse Com Fio Maxprint Universitário USB 2.0 Preto 1200DPI;https://m.media-amazon.com/images/I/411B+26Fn7L._AC_SY300_SX300_.jpg;12.4;7.4;3.8;centímetros;72;g;
7897982201265;Mouse óptico usb Espanha prata 0107 Bright BT 1 UN;https://m.media-amazon.com/images/I/51urIMlyw5L.__AC_SX300_SY300_QL70_ML2_.jpg;10.6;7.2;3.8;centímetros;0.48;g;
7897975003630;Mouse Geek Maxprint USB 2.0 com led;https://m.media-amazon.com/images/I/511srt3nMfL.__AC_SX300_SY300_QL70_ML2_.jpg;15.8;7.5;4.5;centímetros;0.06;g;
7899744067324;5+ Mouse 5 Gamer Start 2.0 - Preto/Vermelho;https://m.media-amazon.com/images/I/51tzA18RUmL.__AC_SX300_SY300_QL70_ML2_.jpg;12.6;8;5.2;centímetros;100;g;
7897975037031;Maxprint 603579 - Mouse Pad Tecido, Preto, 22 x 17.8 cm, 1 Unidade;https://m.media-amazon.com/images/I/51Fc0NusGDL.__AC_SX300_SY300_QL70_ML2_.jpg;21.9;17.8;0.4;centímetros;15;g;
7899838807928;Multimetro Digital Corrente Ac/dc Tensao 200m~1000v Bateria 9v Multilaser - AU325;https://m.media-amazon.com/images/I/61Ib6lpFqrL.__AC_SX300_SY300_QL70_ML2_.jpg;3.2;13.1;10.3;cm;0.17;g;
7896637610995;Multímetro Simplificado Tester - Intelbras 1000p - Ideal para Cftv;https://m.media-amazon.com/images/I/411CnDV3oEL.__AC_SX300_SY300_QL70_ML2_.jpg;18.1;15.3;3;centímetros;;;
7899298648703;Multi-Visualizador HDMI 4X1 VEX 3004 Preto Intelbras;https://m.media-amazon.com/images/I/4135nK9gXDL.__AC_SX300_SY300_QL70_ML2_.jpg;20.5;15.1;8.1;centímetros;736;g;
7899298645283;Nobreak INTELBRAS Attiv SEG Power BI+;https://m.media-amazon.com/images/I/11kmeEknmvL.__AC_QL70_ML2_.jpg;40;30;25;centímetros;11;kilograms;
7896637699891;Nobreak Interativo Bivolt Attiv SEG BI+ Preto Intelbras;https://m.media-amazon.com/images/I/41OM8FrSpYL.__AC_SX300_SY300_QL70_ML2_.jpg;30.2;23.4;13.5;centímetros;5.55;kilograms;
7899298662488;Nobreak Attiv Seno 1000VA Bivolt Preto Intelbras;https://m.media-amazon.com/images/I/613-rXRIJUL.__AC_SX300_SY300_QL70_ML2_.jpg;43.5;23.7;14.4;centímetros;11;kilograms;
7899298628095;Nobreak Intelbras ATTIV Preto 1200VA Bivolt;https://m.media-amazon.com/images/I/51x5kpXUHSL.__AC_SY300_SX300_QL70_ML2_.jpg;39.4;24.1;14.8;centímetros;10;kilograms;
7899298628088;Nobreak Intelbras ATTIV Preto 1200VA 220V;https://m.media-amazon.com/images/I/51x5kpXUHSL.__AC_SY300_SX300_QL70_ML2_.jpg;42.9;30.5;14.4;centímetros;9;kilograms;
