codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7898587275323;OEX - Mouse Wireless Standard - MS412 - Preto;https://m.media-amazon.com/images/I/51gok7NC6iL.__AC_SX300_SY300_QL70_ML2_.jpg;12.2;12;3.4;centímetros;47;g;
7898554605481;Mouse USB OML-101 800 DPI Preto Fortrek;https://m.media-amazon.com/images/I/51dZN0GeahL.__AC_SX300_SY300_QL70_ML2_.jpg;16.6;11.2;5.6;centímetros;80;g;
7898942722530;Fortrek OM-103BK Mouse USB 1600dpi, Preto;https://m.media-amazon.com/images/I/61SfsA9x+gL._AC_SY300_SX300_.jpg;20.6;12.8;3.8;centímetros;100;g;
7898554602428;Fortrek Spider Tarantula OM-702 Mouse Gamer, Preto/Vermelho;https://m.media-amazon.com/images/I/51MV3hxUazL.__AC_SX300_SY300_QL70_ML2_.jpg;21.8;16.4;6;centímetros;220;g;
7899744028097;5+ Mouse, Santana Centro, Usb, 1000 dpi, Office, Preto, 015-0043;https://m.media-amazon.com/images/I/61ZAxqMcHKL.__AC_SX300_SY300_QL70_ML2_.jpg;11.8;4.6;4.2;centímetros;70;g;
7898562615250;OEX Mp302 Mousepad Shot, Acessórios Para Computador, Preto, Grande;https://m.media-amazon.com/images/I/51bKXEeKXNL.__AC_SX300_SY300_QL70_ML2_.jpg;36.6;6.4;6;centímetros;0.39;g;
7898562615397;Mousepad Gel Oex Mp200 Confort Azul;https://m.media-amazon.com/images/I/41EoV9BfByL.__AC_SX300_SY300_QL70_ML2_.jpg;26.4;14;2.8;centímetros;145;g;
7898562619685;OEX Mousepad Gel Confort MP200 - Azul Turquesa, Tamanho único;https://m.media-amazon.com/images/I/41R-ysFNCnL.__AC_SX300_SY300_QL70_ML2_.jpg;27.6;22.5;2;centímetros;145;g;
7898562619678;OEX Mousepad Gel Confort MP200 - Chumbo;https://m.media-amazon.com/images/I/41YkHZZsrAL.__AC_SX300_SY300_QL70_ML2_.jpg;25.4;20;1;centímetros;145;g;
7898562619661;;;22.5;2;19.5;cm;145;gramas;
7898555211070;C3Tech Mouse Pad MP-50 Com Apoio Ergonomico e descanso do Pulso;https://m.media-amazon.com/images/I/511xtBACGAL.__AC_SX300_SY300_QL70_ML2_.jpg;24;19.2;1;centímetros;50;g;
7898491469917;;;23.5;20;2.2;cm;180;g;
7898554607676;Mouse Pad de Couro Premium FK265M 700 x 300mm Preto Fortrek;https://m.media-amazon.com/images/I/81tgBFWDIWL.__AC_SX300_SY300_QL70_ML2_.jpg;31.2;6.4;6;centímetros;313;g;
7897975082246;Mouse Pad Nightmare Control (Grande) Dazz, Outros acessórios para notebooks, Multicor, 624939;https://m.media-amazon.com/images/I/51pfA9wdy+L._AC_SX300_SY300_.jpg;39.8;7.6;7.2;centímetros;0.36;g;
7899718705535;;;3600;600;600;cm;280;g;
7898700014648;ELG, Mousepad Desk Mat MPEL-DG, Feltro Premium, Porta-copo em Courino, 600x300x3mm;https://m.media-amazon.com/images/I/51hbj+di10L._AC_SY300_SX300_.jpg;33.6;6.2;6;centímetros;180;g;
7897982206260;Mouse Pad Gamer Grande De 30 X 70cm Bright 460 Lol;https://m.media-amazon.com/images/I/61Zq5LlW8yL.__AC_SX300_SY300_QL70_ML2_.jpg;;;;;
7898554605627;Mouse Pad Gamer Speed MPG-101 Azul Fortrek;https://m.media-amazon.com/images/I/81yZKnXyaiL.__AC_SX300_SY300_QL70_ML2_.jpg;27.6;6.2;5.4;centímetros;180;g;
7898554606983;Mouse Pad Gamer Speed MPG-101 Verde Fortrek;https://m.media-amazon.com/images/I/81luQtmB-hL.__AC_SX300_SY300_QL70_ML2_.jpg;28.6;6.2;6.2;centímetros;190;g;
7898554606990;Mouse Pad Gamer Speed MPG-101 Vermelho Fortrek;https://m.media-amazon.com/images/I/81Gf-3IGXkL.__AC_SX300_SY300_QL70_ML2_.jpg;29;6;6;centímetros;190;g;
7898554605634;Mouse Pad Gamer SPEED MPG102 Preto FORTREK;https://m.media-amazon.com/images/I/71KsXR+FRSL._AC_SY300_SX300_.jpg;40.7;7.9;7.7;centímetros;340;g;
7898554607379;Mouse Pad Gamer Speed MPG-102 Preto Fortrek;https://m.media-amazon.com/images/I/81fUWAq7U6L.__AC_SX300_SY300_QL70_ML2_.jpg;39;7.6;7.6;centímetros;350;g;
7898554607003;Mouse Pad Gamer Speed MPG-102 Verde Fortrek;https://m.media-amazon.com/images/I/6180zcfxYKL.__AC_SX300_SY300_QL70_ML2_.jpg;37;7.8;7.6;centímetros;360;g;
7897975082277;Mouse Pad Nightmare Speed (Grande) Dazz, Outros acessórios para notebooks;https://m.media-amazon.com/images/I/91s72EEHcXL.__AC_SY300_SX300_QL70_ML2_.jpg;38.2;8.4;7.2;centímetros;0.36;g;
7898700014358;ELG, Mousepad Gamer Merak, Speed, Poliéster e SBR, Superfície Tratada Termicamente, Medium, 400x300x3mm;https://m.media-amazon.com/images/I/51Da2sK+MPL._AC_SY300_SX300_.jpg;34;7;6;centímetros;300;g;
7897982204495;Mouse Pad Com Apoio Para Punho Em Gel Preto Bright;https://m.media-amazon.com/images/I/61uEfn1yftL.__AC_SX300_SY300_QL70_ML2_.jpg;;;;;
7898476320745;Mouse Pad Multi com Apoio Gel Pequeno Preto - AC021;https://m.media-amazon.com/images/I/51AbASThmNL.__AC_SX300_SY300_QL70_ML2_.jpg;26.8;18.4;3;centímetros;0.2;g;
7897975037017;Mouse Pad, Azul, Maxprint, 603550;https://m.media-amazon.com/images/I/51ensdrDjfL.__AC_SY300_SX300_QL70_ML2_.jpg;22.9;22.2;0.7;centímetros;200;g;
7898691020031;Mouse Pad Gamer Motospeed P40 Grande Preto 400mmX300mm - Superficie rigida, Base Emborrachada e borda infinita;https://m.media-amazon.com/images/I/31WxszLoniL.__AC_SX300_SY300_QL70_ML2_.jpg;10;10;2;centímetros;0.45;g;
7898963836322;Mousepad Motospeed P60 Grande Extra Large XXL;https://m.media-amazon.com/images/I/71xgjslWs3L.__AC_SY300_SX300_QL70_ML2_.jpg;32.2;9.6;8.6;centímetros;650;g;
7898476327102;Puxador W Wellness - WK113;https://m.media-amazon.com/images/I/515rtcPDuBL.__AC_SX300_SY300_QL70_ML2_.jpg;22.4;18.4;1.2;centímetros;150;g;
7898562615922;Mp304 Mousepad Galaxy, Oex, Acessórios Para Computador, Preto, 48.5875;https://m.media-amazon.com/images/I/71OQivXitdL.__AC_SX300_SY300_QL70_ML2_.jpg;34.8;6.6;6;centímetros;0.63;g;
7898587271592;;;32;24;0.3;cm;135;gramas;
7897975007171;MOUSE CROMA SEM FIO 2.4G 1.600 DPI PRETO;https://m.media-amazon.com/images/I/41AfYNz0O1L.__AC_SX300_SY300_QL70_ML2_.jpg;11.2;7;3.6;centímetros;65;g;
7899838876245;Mouse Sem Fio 2.4GHZ USB Preto - MO285;https://m.media-amazon.com/images/I/41p8YNkjumL.__AC_SX300_SY300_QL70_ML2_.jpg;17.6;8.8;2;centímetros;;;
7899838887432;Mouse sem Fio Slim Recarregável Bateria de 400mAh 1600-2400 DPI 4 Botões Multi - MO290;https://m.media-amazon.com/images/I/318JFBGJNhL.__AC_SX300_SY300_QL70_ML2_.jpg;19.2;10.8;2.8;centímetros;90;g;
7898555218352;C3Tech Mouse sem fio Prata M-W50SI - Wifi 2.4Ghz, Receptor Nano USB, 1600DPI, Sensor MX8650, Iluminação, Alcance 10M, Ambidestro, Windows, MacOS, Linux, Chrome;https://m.media-amazon.com/images/I/51UPmmtwtPL.__AC_SX300_SY300_QL70_ML2_.jpg;18.6;11.6;6;centímetros;57;g;
